"Food" "Income"
"1" 2.24707238306379 25.83
"2" 2.35707327827812 34.31
"3" 2.69530262827971 42.5
"4" 3.0777729838902 46.75
"5" 3.12632184325759 48.29
"6" 2.90087199253003 48.77
"7" 3.09104245335832 49.65
"8" 2.89701630061483 51.94
"9" 3.14113047624335 54.33
"10" 2.94443897916644 54.87
"11" 2.96836107675786 56.46
"12" 2.88088243187505 58.83
"13" 3.49073334697301 59.13
"14" 3.09693415406296 60.73
"15" 3.15529684322533 61.12
"16" 2.82197394742052 63.1
"17" 3.06105173967463 65.96
"18" 2.69934576047206 66.4
"19" 3.49650756146648 70.42
"20" 3.22644709036452 70.48
"21" 2.87751164216656 71.98
"22" 3.11084508065450 72
"23" 3.12982600803469 72.23
"24" 3.27789916531766 72.23
"25" 3.04452243772342 73.44
"26" 3.62487412413802 74.25
"27" 3.07685132483878 74.77
"28" 3.31054301339402 76.33
"29" 3.42393686863164 81.02
"30" 2.97348666460667 81.85
"31" 3.42034620050092 82.56
"32" 3.71649462114691 83.33
"33" 2.7330679640775 83.4
"34" 2.88312332917134 91.81
"35" 3.24024585060439 91.81
"36" 3.66356164612965 92.96
"37" 3.01749376533550 95.17
"38" 3.40452517175483 101.4
"39" 3.03974915897077 114.13
"40" 3.88588434781845 115.46
